roll,mean,std,marginal,s1_prob,s2_prob,s3_ot_remaining,n_s3_ot_total,p1,p5,p10,p25,p50,p75,p90,p95,p99
1,4.3720,4.5708,4.3720,0.004937,0.000000,736.72,737,0.00,0.00,0.00,2.00,5.00,5.00,10.00,10.00,10.00
2,8.7650,6.6747,4.3930,0.009910,0.000000,736.44,737,0.00,2.00,4.00,5.00,7.00,10.00,15.00,15.00,30.00
3,13.1582,8.3431,4.3932,0.015007,0.000000,736.16,737,2.00,5.00,7.00,9.00,12.00,15.00,20.00,20.00,37.00
4,17.5650,9.7907,4.4068,0.019887,0.000000,735.88,737,6.00,9.00,10.00,12.00,17.00,20.00,25.00,30.00,57.00
5,21.9673,11.0931,4.4024,0.024827,0.000000,735.60,737,8.00,11.00,14.00,17.00,20.00,25.00,30.00,35.00,65.00
6,26.3576,12.2855,4.3903,0.029567,0.000000,735.32,737,11.00,14.00,17.00,21.00,24.00,29.00,35.00,41.00,72.00
7,30.7570,13.4593,4.3993,0.034443,0.000000,735.04,737,14.00,18.00,21.00,24.00,29.00,34.00,40.00,47.00,79.00
8,35.1751,14.5752,4.4181,0.039503,0.000000,734.76,737,17.00,21.00,24.00,28.00,33.00,39.00,46.00,54.00,87.00
9,39.5968,15.6173,4.4217,0.044427,0.000000,734.47,737,20.00,25.00,28.00,32.00,37.00,44.00,52.00,59.00,97.00
10,42.3137,15.9143,2.7169,0.047290,0.000000,734.30,737,23.00,28.00,30.00,35.00,39.00,46.00,54.00,62.00,105.00
11,46.5715,16.9643,4.2578,0.051870,0.000000,734.03,737,26.00,31.00,34.00,38.00,44.00,51.00,59.00,67.00,129.00
12,50.8644,18.1507,4.2929,0.056277,0.000000,733.76,737,29.00,35.00,37.00,42.00,48.00,55.00,64.00,74.00,136.00
13,55.1325,19.1363,4.2682,0.060737,0.000000,733.49,737,32.00,38.00,41.00,46.00,52.00,59.00,69.00,79.00,142.00
14,59.4278,20.1630,4.2952,0.065213,0.000000,733.22,737,36.00,41.00,44.00,50.00,56.00,64.00,74.00,85.00,148.00
15,63.6972,21.1472,4.2694,0.069847,0.000000,732.95,737,39.00,45.00,48.00,53.00,60.00,68.00,79.00,91.00,153.00
16,68.0190,22.2397,4.3218,0.074100,0.000000,732.68,737,42.00,48.00,51.00,57.00,64.00,73.00,84.00,97.00,158.00
17,72.3040,23.1748,4.2851,0.078547,0.000000,732.41,737,45.00,52.00,55.00,61.00,68.00,77.00,89.00,103.00,164.00
18,76.6122,24.1730,4.3082,0.082937,0.000000,732.14,737,49.00,55.00,59.00,65.00,73.00,82.00,94.00,109.00,170.00
19,80.9326,25.1548,4.3204,0.087217,0.000007,731.87,737,52.00,59.00,62.00,69.00,77.00,86.00,99.00,114.00,175.00
20,84.6429,25.8335,3.7103,0.091097,0.000010,731.64,737,55.00,62.00,66.00,72.00,80.00,90.00,103.00,119.00,180.00
21,88.9169,26.8299,4.2740,0.095327,0.000010,731.37,737,58.00,65.00,69.00,76.00,84.00,94.00,108.00,124.00,186.00
22,93.1903,27.8489,4.2735,0.099533,0.000023,731.11,737,62.00,69.00,73.00,80.00,88.00,99.00,113.00,130.00,192.00
23,97.4905,28.8898,4.3002,0.103747,0.000037,730.84,737,65.00,72.00,76.00,84.00,92.00,103.00,118.00,135.00,198.00
24,101.7836,29.8443,4.2931,0.107863,0.000067,730.58,737,68.00,76.00,80.00,87.00,97.00,108.00,123.00,141.00,204.00
25,106.0932,30.8574,4.3096,0.112073,0.000097,730.31,737,72.00,80.00,84.00,91.00,100.00,112.00,128.00,146.00,211.00
26,110.3692,31.7822,4.2760,0.116390,0.000130,730.04,737,75.00,83.00,87.00,95.00,105.00,116.00,133.00,152.00,218.00
27,114.6674,32.6733,4.2982,0.120783,0.000200,729.78,737,79.00,87.00,91.00,99.00,109.00,121.00,138.00,157.00,226.00
28,118.9892,33.6553,4.3218,0.125113,0.000310,729.51,737,82.00,90.00,95.00,103.00,113.00,125.00,143.00,163.00,235.00
29,123.2785,34.5606,4.2894,0.129137,0.000433,729.24,737,86.00,94.00,98.00,107.00,117.00,130.00,148.00,168.00,246.00
30,127.3700,35.4056,4.0915,0.132993,0.000603,728.99,737,89.00,97.00,102.00,110.00,121.00,134.00,153.00,174.00,259.00
31,131.6760,36.3592,4.3060,0.137130,0.000903,728.73,737,92.00,101.00,106.00,114.00,125.00,138.00,157.00,179.00,286.01
32,135.9780,37.2501,4.3020,0.141343,0.001283,728.46,737,96.00,105.00,110.00,118.00,129.00,142.00,162.00,185.00,359.00
33,140.2717,38.0895,4.2937,0.145477,0.001800,728.20,737,99.00,108.00,113.00,122.00,133.00,147.00,167.00,192.00,372.00
34,144.6029,39.0201,4.3312,0.149467,0.002467,727.93,737,103.00,112.00,117.00,126.00,137.00,151.00,172.00,198.00,381.00
35,148.9382,39.9059,4.3353,0.153483,0.003300,727.67,737,106.00,115.00,121.00,130.00,141.00,156.00,177.00,204.00,388.00
36,153.2543,40.7843,4.3161,0.157347,0.004447,727.40,737,110.00,119.00,124.00,134.00,145.00,160.00,182.00,211.00,394.00
37,157.6086,41.6914,4.3543,0.161450,0.005767,727.14,737,113.00,123.00,128.00,137.00,149.00,164.00,187.00,217.00,400.00
38,161.9659,42.6856,4.3573,0.165403,0.007493,726.87,737,117.00,126.00,132.00,141.00,153.00,169.00,192.00,224.00,405.00
39,166.3435,43.6607,4.3776,0.169463,0.009700,726.61,737,120.00,130.00,136.00,145.00,158.00,173.00,197.00,230.00,411.00
40,170.6578,44.5832,4.3143,0.173107,0.012320,726.35,737,124.00,134.00,139.00,149.00,162.00,178.00,202.00,236.00,416.00
41,175.0489,45.4864,4.3911,0.177117,0.015463,726.08,737,127.00,137.00,143.00,153.00,166.00,182.00,207.00,242.00,422.00
42,179.4592,46.4473,4.4103,0.180880,0.019403,725.82,737,131.00,141.00,147.00,157.00,170.00,186.00,212.00,248.00,427.00
43,183.8701,47.3373,4.4109,0.184800,0.024427,725.55,737,135.00,145.00,151.00,161.00,174.00,191.00,217.00,254.00,433.00
44,188.3118,48.2234,4.4417,0.188450,0.030083,725.29,737,138.00,149.00,154.00,165.00,178.00,195.00,222.00,259.00,438.00
45,192.8114,49.2158,4.4997,0.192473,0.036990,725.02,737,142.00,152.00,158.00,169.00,182.00,200.00,228.00,265.00,443.00
46,197.3261,50.0597,4.5146,0.196323,0.045140,724.76,737,146.00,156.00,162.00,173.00,187.00,205.00,233.00,271.00,449.00
47,201.8721,50.9913,4.5461,0.200113,0.054570,724.50,737,149.00,160.00,166.00,177.00,191.00,209.00,239.00,277.00,454.00
48,206.4299,51.8320,4.5578,0.203930,0.065437,724.23,737,153.00,164.00,170.00,181.00,195.00,214.00,244.00,283.00,459.00
49,211.0878,52.8321,4.6580,0.207673,0.078177,723.97,737,157.00,168.00,174.00,185.00,199.00,218.00,250.00,289.00,465.00
50,215.7875,53.8755,4.6996,0.211290,0.092093,723.70,737,161.00,172.00,178.00,189.00,204.00,223.00,255.00,295.00,471.00
