id,subset,type,percentage_probability,points
Revenant Reign Viego Banner,2,one_time,4990/3333,0
Psyops Shen,2,one_time,1530/1111,0
Nightbringer Tryndamere,2,one_time,1530/1111,0
Inkshadow Yone,2,one_time,1530/1111,0
Blood Moon Aatrox,2,one_time,1530/1111,0
Soul Fighter Viego,2,one_time,9980/9999,0
Blood Moon Aatrox (Paragon),2,one_time,4990/9999,0
PsyOps Shen (Paragon),2,one_time,4990/9999,0
Inkshadow Yone (Paragon),2,one_time,4990/9999,0
Nightbringer Tryndamere (Paragon),2,one_time,4990/9999,0
A-Tier Completion Reward,2,permanent,10.00,35
