id,subset,type,percentage_probability,points
Revenant Reign Viego Banner,2,one_time,1.497,0
Psyops Shen,2,one_time,1.377,0
Nightbringer Tryndamere,2,one_time,1.377,0
Inkshadow Yone,2,one_time,1.377,0
Blood Moon Aatrox,2,one_time,1.377,0
Soul Fighter Viego,2,one_time,0.998,0
Blood Moon Aatrox (Paragon),2,one_time,0.499,0
PsyOps Shen (Paragon),2,one_time,0.499,0
Inkshadow Yone (Paragon),2,one_time,0.499,0
Nightbringer Tryndamere (Paragon),2,one_time,0.499,0
A-Tier Completion Reward,2,permanent,10.00,35
