processed_text,source_file
51.37% 5 Mythic Essence,image01.png
9.129% 10 Mythic Essence,image01.png
0.6265% 25 Mythic Essence,image01.png
0.179%50 Mythic Essence,image01.png
0.0895% 100 Mythic Essence,image01.png
0.05343% Got 'em + 2 Mythic Essence,image01.png
0.05343% Groovin'+ 2 Mythic Essence,image01.png
0.05343% Think Kayn Think + 2 Mythic Essence,image01.png
0.05343% Yip! + 2 Mythic Essence,image01.png
0.05343% Cheeky Poro + 2 Mythic Essence,image01.png
0.05343% God Of Lightning + 2 Mythic Essence,image01.png
0.05343% My Word + 2 Mythic Essence,image01.png
0.05343% Oh!+ 2 Mythic Essence,image01.png
0.05343% Does Not Compute + 2 Mythic Essence,image01.png
0.05343% Shellp Me! + 2 Mythic Essence,image01.png
0.05343% Blep + 2 Mythic Essence,image01.png
0.05343% OMG T love it + 2 Mythic Essence,image01.png
0.05343% Yikes + 2 Mythic Essence,image01.png
0.05343% Trick or Treat + 2 Mythic Essence,image01.png
0.05343% Small Rabbit + 2 Mythic Essence,image01.png
0.05343% According to Plan + 2 Mythic Essence,image02.png
0.05343% Lima Oscar Lima! + 2 Mythic Essence,image02.png
0.05343% Great Job + 2 Mythic Essence,image02.png
0.05343% Tyrant Urf + 2 Mythic Essence,image02.png
0.05343% Aww Yiss + 2 Mythic Essence,image02.png
0.05343% T Forget + 2 Mythic Essence,image02.png
0.05343% It me + 2 Mythic Essence,image02.png
0.05343% See Ya! + 2 Mythic Essence,image02.png
0.05343%Oh Look! + 2 Mythic Essence,image02.png
0.05343% You gonna eat that? + 2 Mythic Essence,image02.png
0.05343% Not Now! + 2 Mythic Essence,image02.png
0.05343% Bitter Bloob + 2 Mythic Essence,image02.png
0.05343% Baby Fox + 2 Mythic Essence,image02.png
0.05343% Oh Please...+ 2 Mythic Essence,image02.png
0.05343%Akanbe + 2 Mythic Essence,image02.png
0.05343% Mine! + 2 Mythic Essence.,image02.png
0.05343% How Dare You! + 2 Mythic Essence,image02.png
0.05343% So. Many. Draws.+ 2 Mythic Essence,image02.png
0.05343% Affluent Emperor+2 Mythic Essence,image02.png
0.05343% You're Next + 2 Mythic Essence,image02.png
0.05343% Minionstein + 2 Mythic Essence,image03.png
0.05343% Suffer Eternally + 2 Mythic Essence,image03.png
0.05343% Good Fortune + 2 Mythic Essence.,image03.png
0.05343% How Could You + 2 Mythic Essence,image03.png
0.05343% This League is MINE! + 2 Mythic Essence,image03.png
0.05343% Stellar DAB! + 2 Mythic Essence,image03.png
0.05343% M'Pengu + 2 Mythic Essence,image03.png
0.05343% What the Bread? + 2 Mythic Essence,image03.png
0.05343% It's Harvest Time! + 2 Mythic Essence,image03.png
0.05343% Everything is Okay + 2 Mythic Essence,image03.png
0.05343% Get In + 2 Mythic Essence,image03.png
0.05343% You Get The Horns + 2 Mythic Essence,image03.png
0.05343% Abandoned Top Island + 2 Mythic Essence,image03.png
0.05343% Snoozy Poro + 2 Mythic Essence.,image03.png
0.05343% Teemo Dumpling + 2 Mythic Essence,image03.png
0.05343% Could You Not? + 2 Mythic Essence,image03.png
0.05343% Unworthy + 2 Mythic Essence,image03.png
0.05343% Chomp + 2 Mythic Essence,image03.png
0.05343% Solo Kill Circus + 2 Mythic Essence,image03.png
0.05343% RIP +2 Mythic Essence,image03.png
0.05343% Heartbreaker + 2 Mythic Essence,image04.png
0.05343% Despair + 2 Mythic Essence,image04.png
0.05343% LOLCITO X 100PRE +2 Mythic Essence,image04.png
0.05343% Riku Emote + 2 Mythic Essence,image04.png
0.05343% Tickles My Fancy + 2 Mythic Essence,image04.png
0.05343% Golly + 2 Mythic Essence,image04.png
0.05343% D Or F? + 2 Mythic Essence,image04.png
0.05343% Bee Happy + 2 Mythic Essence,image04.png
0.05343% Scout-Approved + 2 Mythic Essence,image04.png
0.05343% Little Camper + 2 Mythic Essence,image04.png
0.05343% Pack Mentality + 2 Mythic Essence,image04.png
0.05343% Squee + 2 Mythic Essence,image04.png
0.05343% Salutations + 2 Mythic Essence,image04.png
0.05343% Giga K'Sante + 2 Mythic Essence,image04.png
0.05343% Its Easy + 2 Mythic Essence,image04.png
0.05343% A Gift For You + 2 Mythic Essence,image04.png
0.05343% Justice Garen-teed + 2 Mythic Essence,image04.png
0.05343% BetterTogether+2MythicEssence,image04.png
0.05343% Hangzhou 2022 VII + 2 Mythic Essence,image04.png
0.05343% Hangzhou 2022 V + 2 Mythic Essence,image04.png
0.05343% Such War + 2 Mythic Essence,image05.png
0.05343% No False Light + 2 Mythic Essence,image05.png
0.05343% Tea Time + 2 Mythic Essence,image05.png
0.05343% You Look Familiar + 2 Mythic Essence,image05.png
0.05343% It Is What It Is + 2 Mythic Essence,image05.png
0.05343% Now We're Cookin + 2 Mythic Essence,image05.png
0.05343% Unbenched + 2 Mythic Essence,image05.png
0.05343% Lost Another Blade + 2 Mythic Essence,image05.png
0.05343% Gosh + 2 Mythic Essence,image05.png
0.05343% Ran Emote + 2 Mythic Essence,image05.png
0.05343% Pool Party Pengu + 2 Mythic Essence,image05.png
0.05343% Toot Toot + 2 Mythic Essence,image05.png
0.05343% Hangzhou 2022 VIIl + 2 Mythic Essence,image05.png
0.05343% Draven Approves! + 2 Mythic Essence,image05.png
0.05343% Love Ya! + 2 Mythic Essence,image05.png
0.05343% Divine Phoenix Anivia + 2 Mythic Essence,image05.png
0.05343% Maybe NextTime + 2 Mythic Essence,image05.png
0.05343% Take My Money + 2 Mythic Essence,image05.png
0.05343% Sinister Schemer + 2 Mythic Essence,image05.png
0.05343% Hoppin' Mad + 2 Mythic Essence,image05.png
0.05343% Robo Heart + 2 Mythic Essence,image06.png
0.05343% Hearty Laugh + 2 Mythic Essence,image06.png
0.05343% Smol + 2 Mythic Essence,image06.png
0.05343% Sad Kitten + 2 Mythic Essence,image06.png
0.05343% That Ashe + 2 Mythic Essence.,image06.png
0.05343% Hangzhou 2022 IX + 2 Mythic Essence,image06.png
0.05343% Please? + 2 Mythic Essence,image06.png
0.05343% Dogs vs Cats + 2 Mythic Essence,image06.png
0.05343% Its Giving + 2 Mythic Essence,image06.png
0.05343% Howdy + 2 Mythic Essence,image06.png
0.05343% Delightify + 2 Mythic Essence,image06.png
0.05343% Vamporo + 2 Mythic Essence,image06.png
0.05343% Much Love + 2 Mythic Essence,image06.png
0.05343% Cuporo + 2 Mythic Essence,image06.png
0.05343% Adoeable + 2 Mythic Essence,image06.png
0.05343% Dressed to Kill + 2 Mythic Essence,image06.png
"0.05343% Who, Me? + 2 Mythic Essence",image06.png
0.05343% Here's A Tip + 2 Mythic Essence,image06.png
0.05343% Poro Snax + 2 Mythic Essence,image06.png
0.05343% Deal With Grit + 2 Mythic Essence,image06.png
